次のうち、大動脈に血液を送り出すのはどれでしょう？,左心室,右心房,右心室,左心房,自然科学
次のうち、肺動脈に血液を送り出すのはどれでしょう？,右心室,右心房,左心房,左心室,自然科学
次のうち、大静脈から血液を受け取るのはどれでしょう？,右心房,右心室,左心房,左心室,自然科学
次のうち、肺静脈から血液を受け取るのはどれでしょう？,左心房,右心房,右心室,左心室,自然科学
次のうち、植物細胞と動物細胞に共通してある組織はどれでしょう？,ミトコンドリア,細胞壁,液胞,葉緑体,自然科学
次のうち、植物細胞と動物細胞に共通してある組織はどれでしょう？,核,中心体,液胞,ゴルジ体,自然科学
次のうち、動物細胞にはない組織はどれでしょう？,細胞壁,ゴルジ体,中心体,細胞質,自然科学
大気圏の構造のうち、気象現象が発生している、地表から約11㎞までの範囲を何というでしょう？,対流圏,成層圏,中間圏,熱圏,自然科学
大気圏の構造のうち、オゾン層が存在している範囲を何というでしょう？,成層圏,対流圏,中間圏,熱圏,自然科学
大気圏の構造のうち、気温が最も低い範囲は何でしょう？,中間圏,対流圏,成層圏,熱圏,自然科学
大気圏の構造のうち、オーロラが発生する範囲は何でしょう？,熱圏,外気圏,成層圏,中間圏,自然科学
大気圏の構造のうち、宇宙空間に最も近い範囲を何というでしょう？,外気圏,成層圏,中間圏,熱圏,自然科学
日本人として、初めてノーベル物理学賞を受賞したのは誰でしょう？,湯川秀樹,朝永振一郎,江崎玲於奈,小柴昌俊,自然科学
日本人として、初めてノーベル化学賞を受賞したのは誰でしょう？,福井謙一,白川秀樹,野依良治,田中耕一,自然科学
日本人として、初めてノーベル医学・生理学賞を受賞したのは誰でしょう？,利根川進,山中伸弥,大村智,大隅良典,自然科学
次のうち、2014年にノーベル物理学賞を受賞していないのは誰でしょう？,梶田隆章,赤崎勇,天野浩,中村修二,自然科学
次のうち、2008年にノーベル物理学賞を受賞していないのは誰でしょう？,小柴昌俊,南部陽一郎,小林誠,益川敏英,自然科学
チーターの次に速く走ることができる動物で、長距離ではチーター以上に速いといわれるのは次のうちどれでしょう？,プロングホーン,トムソンガゼル,スプリングボック,ライオン,自然科学
アフガニスタンの国技とされている2組の騎馬隊がヤギを奪い合う競技はどれでしょう？,ブズカシ,ヤールギュレシ,ブフ,パト,スポーツ
次のうち、過去に夏季オリンピックで行われていた競技はどれでしょう？,クロッケー,ペタンク,セパタクロー,パサペッロ,スポーツ
次のアメリカの都市のうち、夏季オリンピックを開催したことがないのはどこでしょう？,ニューヨーク,セントルイス,ロサンゼルス,アトランタ,スポーツ
1956年のメルボルンオリンピックにおいて、唯一スウェーデンで行われた競技はどれでしょう？,馬術,射撃,セーリング,フェンシング,スポーツ
夏季オリンピックで初めて日本選手団が派遣されたのはどの大会でしょう？,1912年ストックホルム大会,1908年ロンドン大会,1916年ベルリン大会,1920年アントワープ大会,スポーツ
日本人で初めて夏季オリンピックで金メダルを獲得したのは誰でしょう？,織田幹夫,北村久寿雄,人見絹枝,前畑秀子,スポーツ
次のうち、過去に夏季オリンピックで日本が金メダルを獲得していない競技はどれでしょう？,女子サッカー,女子バレーボール,男子バレーボール,女子ソフトボール,スポーツ
2001年に阪神タイガース野村克也監督が、若手の俊足選手7人に命名した「F1セブン」に含まれないのは誰でしょう？,田中秀太,平下晃司,高波文一,沖原佳典,スポーツ
第1回冬季オリンピックが開催された都市はどこでしょう？,シャモニー(フランス),サンモリッツ(スイス),レークプラシッド(アメリカ),ガルミッシュ＝パルテンキルヒェン(ドイツ),スポーツ
次の都市のうち、冬季オリンピックが1度しか開催されていないのはどこでしょう？,スコーバレー(アメリカ),インスブルック(オーストリア),レークプラシッド(アメリカ),サンモリッツ(スイス),スポーツ
次の選手のうち、日本プロ野球で500盗塁を記録していないのは誰でしょう？,木塚忠助,福本豊,柴田勲,広瀬叔功,スポーツ
サッカーで相手選手を殴る反則を何というでしょう？,ストライキング,トリッピング,ノッキング,スピッティング,スポーツ
セ・パ両リーグで1000本安打を記録した選手は3人いるが、次のうち該当しないのは誰でしょう？,稲葉篤紀,和田一浩,大杉勝男,落合博満,スポーツ
北米4大プロスポーツリーグのうち、唯一カナダに本拠地を持つチームが所属していないリーグはどれでしょう？,NFL(アメリカンフットボール),NHL(アイスホッケー),NBA(バスケットボール),MLB(野球),スポーツ
次のうち、Jリーグ発足時に加盟した10チーム、通称オリジナル10に含まれるチームはどれでしょう？,横浜フリューゲルス,ベルマーレ平塚,ジュビロ磐田,柏レイソル,スポーツ
2019年現在、Jリーグに登録しているチーム数が6と一番多い都道府県はどこでしょう？,神奈川県,静岡県,東京都,大阪府,スポーツ
2016-2017シーズンで、Bリーグ初代王者となったチームはどこでしょう？,リンク栃木ブレックス,アルバルク東京,千葉ジェッツふなばし,川崎ブレイブサンダース,スポーツ
日本代表が1994年サッカーW杯アメリカ大会の出場を逃した試合、通称「ドーハの悲劇」の対戦相手国はイラクですが、1998年フランスW杯の出場を決めた試合、通称「ジョホールバルの歓喜」の対戦相手国はどこでしょう？,イラン,イラク,サウジアラビア,カタール,スポーツ
サッカーのダービーマッチのうち、「ビッグロンドンダービー」といえばアーセナルとチェルシーの試合ですが、「ノースロンドンダービー」といえば、アーセナルとどこの試合でしょう？,トッテナム・ホットスパー,チェルシー,ウェストハム・ユナイテッド,クリスタル・パレス,スポーツ
大相撲の年6場所のうち、初場所の会場となるのは両国国技館ですが、十一月場所の会場となるのはどこでしょう？,福岡国際センター,エディオンアリーナ大阪(大阪府立体育会館),両国国技館,ドルフィンズアリーナ(愛知県体育館),スポーツ
本名を「ムンフバティン・ダワージャルガル」という第69代横綱はだれでしょう？,白鵬翔,鶴竜力三郎,日馬富士公平,朝青龍明徳,スポーツ
王貞治が世界新記録となる756号本塁打を打った相手投手は鈴木康二朗ですが、世界タイ記録となる755号本塁打を打った相手投手は誰でしょう？,三浦道男,鈴木康二朗,神部年男,村田元一,スポーツ
バレンティンが日本プロ野球のシーズン最多本塁打記録となる56号本塁打を打った相手投手は誰でしょう？,榎田大樹,マドリガル,メッセンジャー,前田健太,スポーツ
フリーエージェント権を行使し、日本プロ野球からメジャーリーグ移籍を果たした初の野手は誰でしょう？,新庄剛志,松井秀喜,田口壮,イチロー,スポーツ
